#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
116,Wolfenstein-The-Old-Blood,4-May-15,$19.99,71% (88%,76%),"500,000?..?1,000,000",04:07 (07:40),MachineGames,Bethesda Softworks,
111,Pathologic-Classic-HD,29-Oct-15,$12.99,66% (86%,76%),"100,000?..?200,000",01:20 (01:45),"Ice-Pick Lodge, General Arcade",Good Shepherd Entertainment,
119,Audiosurf-2,26-May-15,$14.99,53% (81%,76%),"200,000?..?500,000",01:08 (00:35),Dylan Fitterer,Dylan Fitterer,
107,Castle-In-The-Darkness,5-Feb-15,$9.99,47% (78%,76%),"50,000?..?100,000",04:53 (01:37),"Matt Kap, Nicalis, Inc.","Nicalis, Inc.",
114,Galacide,28-Jul-15,$4.99,43% (76%,76%),"0?..?20,000",00:00 (00:00),Puny Human,Puny Human,
115,Luckslinger,16-Jul-15,$9.99,43% (76%,76%),"0?..?20,000",00:00 (00:00),Duckbridge,Duckbridge,
120,Mortal-Kombat-X,13-Apr-15,$19.99,41% (75%,76%),"1,000,000?..?2,000,000",03:37 (00:51),"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,
109,Overture,2-Feb-15,$4.99,38% (73%,76%),"200,000?..?500,000",00:00 (00:00),Black Shell Games,Black Shell Media,
108,Blood-Bowl-2,22-Sep-15,$19.99,33% (70%,76%),"200,000?..?500,000",05:06 (03:40),Cyanide Studios,Focus Home Interactive,
110,Gunpowder,8-Jul-15,$1.99,"0 (0""",76%),"000""",00:00 (00:00),Rogue Rocket Games,Rogue Rocket Games,
124,Chroma-Squad,30-Apr-15,$14.99,93% (95%,75%),"200,000?..?500,000",01:37 (01:04),Behold Studios,Behold Studios,
130,Gravity-Ghost,26-Jan-15,$14.99,93% (95%,75%),"0?..?20,000",00:00 (00:00),Ivy Games,Ivy Games,
125,Grow-Home,4-Feb-15,$7.99,83% (92%,75%),"200,000?..?500,000",00:32 (00:17),"Reflections, a Ubisoft Studio",Ubisoft,
131,Victor-Vran,24-Jul-15,$19.99,71% (88%,75%),"500,000?..?1,000,000",09:50 (12:40),Haemimont Games,EuroVideo Medien,
126,NOT-A-HERO,14-May-15,$12.99,68% (87%,75%),"100,000?..?200,000",02:09 (01:25),Roll7,Devolver Digital,
129,Rebuild-3-Gangs-of-Deadsville,29-May-15,$14.99,66% (86%,75%),"100,000?..?200,000",01:29 (00:29),"Northway Games, Sarah Northway",Northway Games,
127,Armello,1-Sep-15,$19.99,56% (82%,75%),"500,000?..?1,000,000",01:42 (01:04),League of Geeks,League of Geeks,
