#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,
2865,Mad-Arkanoid,3-Aug-17,$0.99,14% (54%),"20,000?..?50,000",00:00 (00:00),,,,,,,,,,
6419,Hunahpu-way-of-the-Warrior,10-Apr-17,$6.99,14% (54%),"20,000?..?50,000",03:43 (02:54),"Paper Pirates, rumata_lab",Paper Pirates,,,,,,,,
696,Crankies-Workshop-Bozzbot-Assembly,13-Sep-17,$0.49,14% (54%),"0?..?20,000",00:00 (00:00),Crankies Smartworks,VT Publishing,,,,,,,,
3126,Titanic,30-Oct-17,$2.99,14% (54%),"0?..?20,000",00:01 (00:00),Interactive Gaming Studios,Interactive Gaming Studios,,,,,,,,
3660,Arcfall,16-May-17,Free,14% (54%),"0?..?20,000",00:00 (00:00),Neojac Entertainment inc.,Neojac Entertainment Inc.,,,,,,,,
4456,Soldiers-of-the-Universe,30-Nov-17,$4.99,14% (54%),"0?..?20,000",00:00 (00:00),Rocwise Entertainment,Rocwise Entertainment,,,,,,,,
4475,The-soldier-in-the-mine,14-Aug-17,$0.99,14% (54%),"0?..?20,000",00:00 (00:00),Laush Dmitriy Sergeevich,Laush Studio,,,,,,,,
4645,Porno-Studio-Tycoon,5-May-17,$19.69,14% (54%),"0?..?20,000",00:00 (00:00),Zitrix Megalomedia,Zitrix Megalomedia,,,,,,,,
5021,Welcome-to-Hanwell,20-Oct-17,$19.99,14% (54%),"0?..?20,000",00:00 (00:00),Steel Arts,Steel Arts,,,,,,,,
5234,Douche-Bag,4-Aug-17,$0.99,14% (54%),"0?..?20,000",00:00 (00:00),ILLUMICORP,ILLUMICORP,,,,,,,,
332,RAID-World-War-II,26-Sep-17,$19.99,14% (54%/53%),"20,000?..?50,000",02:31 (02:59),Lion game Lion,Starbreeze Publishing AB,,,,,,,,
142,FOR-HONOR,13-Feb-17,$14.99,14% (54%/76%),"2,000,000?..?5,000,000",08:35 (02:54),"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte",Ubisoft,,,,,,,,
3836,Vikings---Wolves-of-Midgard,24-Mar-17,$29.99,15% (55%),"100,000?..?200,000",15:06 (05:02),Games Farm,Kalypso Media Digital,,,,,,,,
4145,BATTLECREW-Space-Pirates,10-Jul-17,Free,15% (55%),"100,000?..?200,000",335:12 (111:44),DONTNOD ELEVEN,DONTNOD ELEVEN,,,,,,,,
4942,Crimson-Earth,10-Jun-17,$0.99,15% (55%),"50,000?..?100,000",00:00 (00:00),EHTechnology,EHTechnology,,,,,,,,
5128,Dinosaur-Forest,17-May-17,$0.49,15% (55%),"50,000?..?100,000",00:01 (00:00),Racing Bros,ANPA.US,,,,,,,,
5407,Pain-Train,11-Jan-17,$0.99,15% (55%),"50,000?..?100,000",02:55 (02:38),Virtual Top,VT Publishing,,,,,,,,
5837,Rento-Fortune---Online-Dice-Board-Game,14-Jul-17,$4.99,15% (55%),"50,000?..?100,000",01:12 (01:22),LAN - GAMES EOOD,LAN - GAMES EOOD,,,,,,,,
630,Starship-Theory,4-Jul-17,$11.99,15% (55%),"20,000?..?50,000",00:00 (00:00),Reconnect Software,Reconnect Software,,,,,,,,
4934,Twilight-Town,4-Dec-17,Free,15% (55%),"20,000?..?50,000",00:00 (00:00),Absolutist Ltd.,Absolutist Ltd.,,,,,,,,
6673,Might-Mayhem,5-Jun-17,Free,15% (55%),"20,000?..?50,000",335:11 (111:43),Kiz Studios,"You42, Inc.",,,,,,,,
1122,Boy-Next-Door,16-Oct-17,$0.99,15% (55%),"0?..?20,000",00:00 (00:00),"Nikita ""Ghost_RUS""",Ghost_RUS Games,,,,,,,,
1407,Autocraft,20-Sep-17,$9.99,15% (55%),"0?..?20,000",00:00 (00:00),Alientrap,Alientrap,,,,,,,,
1465,Andarilho,5-May-17,$0.99,15% (55%),"0?..?20,000",04:28 (05:01),SC Jogos,SC Jogos,,,,,,,,
1683,Wanderlust,1-Nov-17,$7.99,15% (55%),"0?..?20,000",00:00 (00:00),Eternity Studios,Eternity Studios,,,,,,,,
3359,Stable-Orbit,27-Sep-17,$14.99,15% (55%),"0?..?20,000",00:00 (00:00),Codalyn,Green Man Gaming Publishing,,,,,,,,
4183,Machine-World-2,28-Jul-17,$12.99,15% (55%),"0?..?20,000",00:00 (00:00),Trino Games,Trino AB,,,,,,,,
5096,Esports-Life-Ep1---Dreams-of-Glory,30-Nov-17,$19.99,15% (55%),"0?..?20,000",02:21 (00:47),U-Play Online,"U-Play Online, Raiser Games",,,,,,,,
5570,Divided-We-Fall-Play-For-Free,2-Oct-17,Free,15% (55%),"0?..?20,000",00:10 (00:03),KAVA Game Studio,KAVA Game Studio,,,,,,,,
5637,Castle-of-no-Escape,22-Jun-17,$3.99,15% (55%),"0?..?20,000",00:40 (00:13),"Xitilon, Esdeer",Xitilon,,,,,,,,
5751,?©Ê?ÔºöÈ?‰∏éÁôΩÔºàNarcotics-PoliceBlack-and-WhiteÔº?May-29," 2017""",$0.99,15% (55%),"0?..?20,000",00:00 (00:00),LongWu,LongWu,,,,,,,,
5761,Disneys-The-Lion-King,18-Dec-17,$9.99,15% (55%),"0?..?20,000",00:00 (00:00),Westwood Studios,Disney Interactive,,,,,,,,
6159,Edengrad,4-Apr-17,$12.99,15% (55%),"0?..?20,000",00:00 (00:00),Huckleberry Games S.A.,Huckleberry Games S.A.,,,,,,,,
6455,The-Girl-on-the-Train,23-Oct-17,$0.99,15% (55%),"0?..?20,000",00:00 (00:00),NewWestGames,NewWestGames,,,,,,,,
2403,Games-of-Glory,25-Apr-17,Free,16% (56%),"200,000?..?500,000",00:00 (00:00),Lightbulb Crew,Lightbulb Crew,,,,,,,,
3876,ESports-Club-/-?µÁ?‰ø±‰???Jun-29," 2017""",$8.99,16% (56%),"100,000?..?200,000",00:59 (00:56),"Hangzhou Xinlan Network Technology Co.,Ltd.","Hangzhou Xinlan Network Technology Co.,Ltd.",,,,,,,,
2103,Aetherspace,3-Jul-17,Free,16% (56%),"50,000?..?100,000",335:11 (111:43),Munchkin's Lair,Munchkin's Lair,,,,,,,,
5338,March-of-Empires,11-Dec-17,Free,16% (56%),"50,000?..?100,000",197:08 (164:28),Gameloft,Gameloft,,,,,,,,
2338,Chosen-2,10-Mar-17,$4.99,16% (56%),"20,000?..?50,000",04:40 (01:33),Little Big Lee,,,,,,,,,
362,Sunrise-survival,3-Aug-17,$3.99,16% (56%),"0?..?20,000",00:00 (00:00),Fedorov Ilya & Andrew Konovalov,Fedorov Ilya & Andrew Konovalov,,,,,,,,
623,NVL,24-Dec-17,$1.99,16% (56%),"0?..?20,000",00:00 (00:00),CUTE ANIME GIRLS,Tranquility games,,,,,,,,
667,The-Wisbey-Mystery,18-Jan-17,$7.99,16% (56%),"0?..?20,000",00:00 (00:00),Argali Entertainment,RunServer,,,,,,,,
747,You-Doesnt-Exist,26-Sep-17,Free,16% (56%),"0?..?20,000",00:00 (00:00),Yo252yo,Yo252yo,,,,,,,,
4617,Noise,4-Aug-17,$2.99,16% (56%),"0?..?20,000",00:00 (00:00),Talentplace,KishMish Games,,,,,,,,
4888,PLUTONIUM,9-May-17,$1.99,16% (56%),"0?..?20,000",00:00 (00:00),Ch.ZBK,Ch.ZBK,,,,,,,,
